จังหวัด,Province,year-2541-1998,year-2543-2000,year-2545-2002,year-2547-2004,year-2549-2006,year-2550-2007,year-2552-2009,year-2554-2011,year-2556-2013,year-2558-2015
สกลนคร,Sakon Nakhon,7660,7751,10227,8971,11295,11957,16679,15326.2,16854.2,19280.9
นครพนม,Nakhon Phanom,7909,5343,7613,8168,9927,10009,12859,14053.4,14310.4,15804.4
มุกดาหาร,Mukdahan,9890,9485,9236,9284,13497,13406,17370,19048.4,16494.4,22869.7
นครศรีธรรมราช,Nakhon Si Thammarat,11196,10789,12317,14079,17377,18087,23296,29970.4,27478.9,25124
กระบี่,Krabi,11986,9928,13318,16877,18446,18852,23647,33350.3,27275.8,31011.5
พังงา,Phangnga,7650,10217,12428,16965,29617,22211,22356,24470.4,26167.7,28842.3
ภูเก็ต,Phuket,19313,20702,26363,25082,25630,25084,28515,26048,31857.4,31499.7
สุราษฎร์ธานี,Surat Thani,11967,10800,14056,16150,21747,26207,30604,34416.6,36864.5,36465.6
ระนอง,Ranong,9033,9410,10765,14328,18679,21620,19274,26048.7,32291.8,22034.7
ชุมพร,Chumphon,10232,10454,10922,11482,17232,19003,25179,28021.5,27540.2,29306.1
สงขลา,Songkhla,15057,13505,14192,15481,22093,22342,27356,26711.2,26824.1,27659.9
สตูล,Satun,8924,9711,12702,11826,14307,17328,20695,21046.8,25399.6,23208.5
ตรัง,Trang,12973,12782,14332,17038,20801,23650,21992,36245.2,33269.9,23309.1
พัทลุง,Phattalung,12315,11550,10820,14985,18045,18670,19381,25201.9,26169.3,21478.3
ปัตตานี,Pattani,10737,9759,9702,11837,12547,11840,13511,16121.5,20199.1,17513
ยะลา,Yala,7560,9932,10018,11886,14354,13698,19619,21858.8,22483.1,15583.8
นราธิวาส,Narathiwat,6281,7802,7603,9240,11586,13148,11244,16834.4,16772.8,19889.6
